Year,City,Sport,Discipline,NOC,Event,Gender,Medal
1932,Lake Placid,Skating,Figure skating,AUT,individual,M,Gold
1932,Lake Placid,Skating,Figure skating,AUT,individual,W,Silver
1932,Lake Placid,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1932,Lake Placid,Skating,Figure skating,CAN,individual,M,Bronze
1932,Lake Placid,Skating,Speed skating,CAN,10000m,M,Bronze
1932,Lake Placid,Skating,Speed skating,CAN,1500m,M,Bronze
1932,Lake Placid,Skating,Speed skating,CAN,1500m,M,Silver
1932,Lake Placid,Skating,Speed skating,CAN,5000m,M,Bronze
1932,Lake Placid,Skating,Speed skating,CAN,500m,M,Bronze
1932,Lake Placid,Skiing,Cross Country S,FIN,18km,M,Bronze
1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Gold
1932,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Silver
1932,Lake Placid,Skating,Figure skating,FRA,pairs,X,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,GER,four-man,M,Bronze
1932,Lake Placid,Ice Hockey,Ice Hockey,GER,ice hockey,M,Bronze
1932,Lake Placid,Skating,Figure skating,HUN,pairs,X,Bronze
1932,Lake Placid,Skating,Figure skating,NOR,individual,W,Gold
1932,Lake Placid,Skating,Speed skating,NOR,10000m,M,Silver
1932,Lake Placid,Skating,Speed skating,NOR,500m,M,Silver
1932,Lake Placid,Skiing,Cross Country S,NOR,50km,M,Bronze
1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Bronze
1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Gold
1932,Lake Placid,Skiing,Nordic Combined,NOR,individual,M,Silver
1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1932,Lake Placid,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
1932,Lake Placid,Skating,Figure skating,SWE,individual,M,Silver
1932,Lake Placid,Skiing,Cross Country S,SWE,18km,M,Gold
1932,Lake Placid,Skiing,Cross Country S,SWE,18km,M,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,four-man,M,Gold
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,four-man,M,Silver
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
1932,Lake Placid,Bobsleigh,Bobsleigh,USA,two-man,M,Gold
1932,Lake Placid,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
1932,Lake Placid,Skating,Figure skating,USA,individual,W,Bronze
1932,Lake Placid,Skating,Figure skating,USA,pairs,X,Silver
1932,Lake Placid,Skating,Speed skating,USA,10000m,M,Gold
1932,Lake Placid,Skating,Speed skating,USA,1500m,M,Gold
1932,Lake Placid,Skating,Speed skating,USA,5000m,M,Gold
1932,Lake Placid,Skating,Speed skating,USA,5000m,M,Silver
1932,Lake Placid,Skating,Speed skating,USA,500m,M,Gold
1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,individual,M,Bronze
1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,individual,M,Gold
1936,Garmisch-Partenkirchen,Skating,Figure skating,AUT,pairs,X,Silver
1936,Garmisch-Partenkirchen,Skating,Speed skating,AUT,10000m,M,Bronze
1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Silver
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,10000m,M,Silver
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,1500m,M,Bronze
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,5000m,M,Bronze
1936,Garmisch-Partenkirchen,Skating,Speed skating,FIN,5000m,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,FIN,18km,M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,GBR,four-man,M,Bronze
1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,GBR,ice hockey,M,Gold
1936,Garmisch-Partenkirchen,Skating,Figure skating,GBR,individual,W,Silver
1936,Garmisch-Partenkirchen,Skating,Figure skating,GER,individual,M,Silver
1936,Garmisch-Partenkirchen,Skating,Figure skating,GER,pairs,X,Gold
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,W,Gold
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,GER,alpine combined,W,Silver
1936,Garmisch-Partenkirchen,Skating,Figure skating,HUN,pairs,X,Bronze
1936,Garmisch-Partenkirchen,Skating,Figure skating,NOR,individual,W,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,10000m,M,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,1500m,M,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,1500m,M,Silver
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,5000m,M,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,500m,M,Gold
1936,Garmisch-Partenkirchen,Skating,Speed skating,NOR,500m,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Alpine Skiing,NOR,alpine combined,W,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,NOR,18km,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Nordic Combined,NOR,individual,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,four-man,M,Gold
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,four-man,M,Silver
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
1936,Garmisch-Partenkirchen,Skating,Figure skating,SWE,individual,W,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,18km,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Bronze
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Gold
1936,Garmisch-Partenkirchen,Skiing,Cross Country S,SWE,50km,M,Silver
1936,Garmisch-Partenkirchen,Skiing,Ski Jumping,SWE,K90 individual (70m),M,Silver
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
1936,Garmisch-Partenkirchen,Bobsleigh,Bobsleigh,USA,two-man,M,Gold
1936,Garmisch-Partenkirchen,Ice Hockey,Ice Hockey,USA,ice hockey,M,Bronze
1936,Garmisch-Partenkirchen,Skating,Speed skating,USA,500m,M,Bronze
