Year,City,Sport,Discipline,NOC,Event,Gender,Medal
1952,Oslo,Skating,Figure skating,AUT,individual,M,Silver
1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,M,Silver
1952,Oslo,Skiing,Alpine Skiing,AUT,downhill,W,Gold
1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
1952,Oslo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver
1952,Oslo,Skiing,Alpine Skiing,AUT,slalom,M,Gold
1952,Oslo,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1952,Oslo,Skating,Speed skating,CAN,500m,M,Bronze
1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Bronze
1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Gold
1952,Oslo,Skiing,Cross Country S,FIN,10km,W,Silver
1952,Oslo,Skiing,Cross Country S,FIN,18km,M,Bronze
1952,Oslo,Skiing,Cross Country S,FIN,18km,M,Silver
1952,Oslo,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
1952,Oslo,Skiing,Cross Country S,FIN,50km,M,Gold
1952,Oslo,Skiing,Cross Country S,FIN,50km,M,Silver
1952,Oslo,Skiing,Nordic Combined,FIN,individual,M,Silver
1952,Oslo,Skating,Figure skating,FRA,individual,W,Bronze
1952,Oslo,Bobsleigh,Bobsleigh,FRG,four-man,M,Gold
1952,Oslo,Bobsleigh,Bobsleigh,FRG,two-man,M,Gold
1952,Oslo,Skating,Figure skating,GBR,individual,W,Gold
1952,Oslo,Skating,Figure skating,GER,pairs,X,Gold
1952,Oslo,Skiing,Alpine Skiing,GER,downhill,W,Silver
1952,Oslo,Skiing,Alpine Skiing,GER,giant slalom,W,Bronze
1952,Oslo,Skiing,Alpine Skiing,GER,slalom,W,Bronze
1952,Oslo,Skiing,Alpine Skiing,GER,slalom,W,Silver
1952,Oslo,Skating,Figure skating,HUN,pairs,X,Bronze
1952,Oslo,Skiing,Alpine Skiing,ITA,downhill,M,Gold
1952,Oslo,Skiing,Alpine Skiing,ITA,downhill,W,Bronze
1952,Oslo,Skating,Speed skating,NED,10000m,M,Silver
1952,Oslo,Skating,Speed skating,NED,1500m,M,Silver
1952,Oslo,Skating,Speed skating,NED,5000m,M,Silver
1952,Oslo,Skating,Speed skating,NOR,10000m,M,Gold
1952,Oslo,Skating,Speed skating,NOR,1500m,M,Bronze
1952,Oslo,Skating,Speed skating,NOR,1500m,M,Gold
1952,Oslo,Skating,Speed skating,NOR,5000m,M,Bronze
1952,Oslo,Skating,Speed skating,NOR,5000m,M,Gold
1952,Oslo,Skating,Speed skating,NOR,500m,M,Bronze
1952,Oslo,Skiing,Alpine Skiing,NOR,giant slalom,M,Gold
1952,Oslo,Skiing,Alpine Skiing,NOR,slalom,M,Bronze
1952,Oslo,Skiing,Alpine Skiing,NOR,slalom,M,Silver
1952,Oslo,Skiing,Cross Country S,NOR,18km,M,Gold
1952,Oslo,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
1952,Oslo,Skiing,Cross Country S,NOR,50km,M,Bronze
1952,Oslo,Skiing,Nordic Combined,NOR,individual,M,Bronze
1952,Oslo,Skiing,Nordic Combined,NOR,individual,M,Gold
1952,Oslo,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1952,Oslo,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1952,Oslo,Bobsleigh,Bobsleigh,SUI,four-man,M,Bronze
1952,Oslo,Bobsleigh,Bobsleigh,SUI,two-man,M,Bronze
1952,Oslo,Ice Hockey,Ice Hockey,SWE,ice hockey,M,Bronze
1952,Oslo,Skating,Speed skating,SWE,10000m,M,Bronze
1952,Oslo,Skiing,Cross Country S,SWE,4x10km relay,M,Bronze
1952,Oslo,Skiing,Ski Jumping,SWE,K90 individual (70m),M,Bronze
1952,Oslo,Bobsleigh,Bobsleigh,USA,four-man,M,Silver
1952,Oslo,Bobsleigh,Bobsleigh,USA,two-man,M,Silver
1952,Oslo,Ice Hockey,Ice Hockey,USA,ice hockey,M,Silver
1952,Oslo,Skating,Figure skating,USA,individual,M,Bronze
1952,Oslo,Skating,Figure skating,USA,individual,M,Gold
1952,Oslo,Skating,Figure skating,USA,individual,W,Silver
1952,Oslo,Skating,Figure skating,USA,pairs,X,Silver
1952,Oslo,Skating,Speed skating,USA,500m,M,Gold
1952,Oslo,Skating,Speed skating,USA,500m,M,Silver
1952,Oslo,Skiing,Alpine Skiing,USA,giant slalom,W,Gold
1952,Oslo,Skiing,Alpine Skiing,USA,slalom,W,Gold
1956,Cortina d'Ampezzo,Skating,Figure skating,AUT,individual,W,Bronze
1956,Cortina d'Ampezzo,Skating,Figure skating,AUT,pairs,X,Gold
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,downhill,M,Gold
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,M,Gold
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,W,Bronze
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,slalom,M,Gold
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,AUT,slalom,W,Silver
1956,Cortina d'Ampezzo,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Bronze
1956,Cortina d'Ampezzo,Skating,Figure skating,CAN,pairs,X,Silver
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,CAN,downhill,W,Bronze
1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,EUA,giant slalom,W,Gold
1956,Cortina d'Ampezzo,Skiing,Ski Jumping,EUA,K90 individual (70m),M,Bronze
1956,Cortina d'Ampezzo,Skating,Speed skating,FIN,1500m,M,Bronze
1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,30km mass start,M,Gold
1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,3x5km relay,W,Gold
1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,4x10km relay,M,Silver
1956,Cortina d'Ampezzo,Skiing,Cross Country S,FIN,50km,M,Silver
1956,Cortina d'Ampezzo,Skiing,Ski Jumping,FIN,K90 individual (70m),M,Gold
